"MDM_MOCK_F" "MDM_MOCK_L" "MDM_MOCK_S" "MDM_IL27_F" "MDM_IL27_L" "MDM_IL27_S" "MDM_LPS_F" "MDM_LPS_L" "MDM_LPS_S" "MDM_IL27_LPS_F" "MDM_IL27_LPS_L" "MDM_IL27_LPS_S"
"ENSG00000091039" 1705 2150 3038 1680 2093 1557 1581 1279 1720 657 1751 1326
"ENSG00000257526" 4 1 0 1 4 0 0 0 0 2 1 0
"ENSG00000213272" 0 2 0 0 2 2 0 0 2 0 0 0
"ENSG00000243071" 5 14 1 2 7 2 3 14 6 0 8 12
"ENSG00000258090" 1 1 1 0 3 0 2 1 0 0 0 0
"ENSG00000186908" 565 515 831 530 489 529 587 323 554 421 604 508
"ENSG00000175183" 203 527 797 150 407 468 96 223 366 61 291 291
"ENSG00000257910" 2 4 0 2 0 1 0 0 0 0 0 0
"ENSG00000257199" 0 0 0 0 1 0 0 0 0 0 0 0
"ENSG00000165891" 61 59 115 41 84 27 29 37 51 46 45 67
"ENSG00000067715" 14 2 0 4 2 0 0 0 0 0 4 0
"ENSG00000257191" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257894" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000238890" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221788" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000266390" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000263757" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257604" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000177425" 0 0 0 0 0 0 0 2 0 0 0 0
"ENSG00000258048" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000058272" 1316 966 1813 1291 1120 1056 1278 776 1523 862 1207 1324
"ENSG00000258044" 2 0 2 0 0 0 2 0 0 2 2 0
"ENSG00000201942" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000277130" 6 2 0 4 2 0 0 0 0 1 0 0
"ENSG00000257557" 41 15 68 40 29 11 29 17 43 17 27 37
"ENSG00000230291" 27 53 19 26 87 21 40 43 49 10 31 31
"ENSG00000111052" 19 8 32 6 12 14 0 4 8 0 2 8
"ENSG00000207763" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258215" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000208022" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111058" 0 6 17 0 16 9 2 4 4 0 8 20
"ENSG00000258026" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000265227" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000139220" 0 2 2 0 8 0 0 8 0 0 0 0
"ENSG00000257467" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258162" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258375" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000133773" 246 249 316 221 303 167 218 185 293 170 237 208
"ENSG00000221260" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221121" 0 0 0 0 0 0 0 2 0 0 1 0
"ENSG00000127720" 77 65 128 78 78 79 28 28 39 33 35 26
"ENSG00000257875" 0 0 2 0 2 0 0 0 0 0 0 0
"ENSG00000179104" 55 87 109 62 77 51 37 28 79 18 69 50
"ENSG00000252220" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258128" 1 5 3 1 3 3 1 2 0 0 2 0
"ENSG00000165805" 0 0 0 0 2 0 0 0 0 0 0 0
"ENSG00000278142" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000133641" 129 136 161 109 133 90 50 44 51 35 52 50
"ENSG00000198707" 266 224 360 252 256 162 113 82 105 59 82 111
"ENSG00000252747" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257752" 0 2 1 0 0 0 0 0 0 1 0 0
"ENSG00000139324" 128 105 206 86 136 133 108 104 120 88 156 122
"ENSG00000049130" 25 18 80 6 36 20 17 32 71 26 52 44
"ENSG00000281333" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000252850" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257629" 0 0 0 0 4 0 0 0 0 0 0 3
"ENSG00000257156" 1 2 4 0 1 0 1 8 0 3 5 0
"ENSG00000238302" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000246363" 19 57 21 2 51 8 36 72 39 23 92 51
"ENSG00000139318" 1690 2778 2682 2130 4220 1719 3262 2572 3483 1902 3046 3065
"ENSG00000274021" 315 580 588 472 997 284 701 490 631 299 528 563
"ENSG00000139323" 313 298 395 385 411 304 481 408 602 376 604 596
"ENSG00000226982" 0 0 1 2 0 3 1 0 0 0 1 0
"ENSG00000259075" 227 179 362 251 340 194 470 211 691 376 400 748
"ENSG00000279939" 0 0 0 0 0 0 0 0 0 1 0 2
"ENSG00000257594" 213 166 352 241 331 193 462 191 675 360 373 726
"ENSG00000270344" 35 20 61 20 19 36 25 5 22 14 17 28
"ENSG00000070961" 839 832 1209 742 964 522 2998 1542 5385 2022 2151 3281
"ENSG00000266347" 0 1 4 2 0 1 0 6 1 2 2 1
"ENSG00000258302" 5 4 13 2 7 11 9 2 8 4 0 10
"ENSG00000271614" 12 20 28 19 11 10 49 39 59 23 48 55
"ENSG00000257242" 3 8 5 6 12 8 14 37 14 24 36 45
"ENSG00000279037" 2 1 1 1 0 0 1 1 0 4 6 8
"ENSG00000280112" 2 1 1 1 0 0 1 0 0 4 6 8
"ENSG00000282896" 2 1 1 1 0 0 0 0 0 4 6 8
"ENSG00000245904" 81 206 123 187 223 42 466 670 800 217 1185 849
"ENSG00000239201" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000199895" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000133639" 1384 1664 1973 1239 2209 1418 4404 5396 5695 4374 7866 7042
"ENSG00000277851" 1 2 0 0 3 0 0 2 0 0 0 0
"ENSG00000257127" 1 45 25 0 59 16 4 118 27 8 99 41
"ENSG00000266923" 0 9 2 0 15 5 1 29 7 0 27 13
"ENSG00000205056" 0 0 2 0 3 0 0 2 1 0 0 8
"ENSG00000205057" 6 103 33 4 165 38 11 261 60 2 211 69
"ENSG00000187510" 3 12 8 1 6 0 2 3 0 2 2 4
"ENSG00000102189" 575 501 918 787 562 492 1169 440 1071 542 736 1032
"ENSG00000258012" 0 0 0 0 0 0 1 0 4 1 2 0
"ENSG00000257195" 0 2 0 0 4 0 1 1 0 0 0 2
"ENSG00000257345" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257322" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000207365" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000270506" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257746" 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000221617" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258171" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000256393" 9 12 7 2 20 20 4 13 0 2 8 12
"ENSG00000257210" 4 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000173598" 275 357 631 236 423 256 144 169 106 94 165 76
"ENSG00000177889" 840 787 1050 730 1117 858 1053 918 1178 779 1030 1016
"ENSG00000198015" 391 368 518 360 462 291 232 217 207 150 232 200
"ENSG00000243015" 6 8 7 5 11 3 2 4 0 2 4 0
"ENSG00000246985" 0 2 4 0 0 0 0 0 12 0 0 0
"ENSG00000120833" 2 1 6 0 2 2 14 11 13 16 14 32
"ENSG00000186076" 91 100 157 48 112 83 95 81 77 77 105 83
"ENSG00000169372" 103 85 121 55 123 72 50 36 78 24 53 39
"ENSG00000258274" 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000264978" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258303" 2 0 0 0 2 4 2 0 4 0 0 0
"ENSG00000257283" 2 0 2 0 1 0 0 0 2 0 0 1
"ENSG00000136040" 7594 4055 8419 9428 4518 6671 6983 1859 5683 5070 2860 5035
"ENSG00000258035" 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000258172" 0 2 2 4 0 3 0 0 0 0 4 0
"ENSG00000258365" 7 14 7 2 13 6 4 4 6 2 2 3
"ENSG00000173588" 565 301 698 640 431 555 533 110 368 347 244 389
"ENSG00000244391" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000213250" 2 7 14 6 3 3 17 27 12 13 17 3
"ENSG00000278916" 2 0 6 0 2 0 0 2 0 0 0 0
"ENSG00000236349" 10 6 8 8 10 0 1 1 4 3 0 3
"ENSG00000057704" 190 178 282 190 219 193 149 78 109 102 133 121
"ENSG00000257847" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000277302" 5 11 10 9 7 21 5 0 3 9 4 6
"ENSG00000184752" 458 488 571 440 545 432 366 463 445 185 519 369
"ENSG00000120798" 471 357 540 426 385 294 265 227 278 147 335 188
"ENSG00000180263" 700 537 736 737 547 376 564 295 314 322 316 272
"ENSG00000257121" 2 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000237774" 1 0 0 2 0 0 0 0 0 2 0 0
"ENSG00000028203" 681 589 924 585 541 498 799 512 856 577 669 665
"ENSG00000202470" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257666" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000212535" 0 0 0 0 0 0 0 1 0 0 1 0
"ENSG00000265917" 1 6 6 4 3 5 10 0 1 0 0 1
"ENSG00000241556" 2 0 1 2 4 1 6 2 2 0 0 0
"ENSG00000111142" 863 1030 1184 741 959 861 611 564 859 352 629 631
"ENSG00000136014" 14 0 6 11 0 4 0 0 0 0 0 0
"ENSG00000258343" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258292" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000139343" 277 495 308 277 537 251 193 394 328 97 448 210
"ENSG00000165972" 1 1 0 4 1 5 1 3 0 0 0 0
"ENSG00000139344" 75 69 137 43 67 60 6 13 15 0 37 26
"ENSG00000084110" 109 42 135 99 82 68 13 19 22 14 19 5
"ENSG00000257878" 404 265 426 499 303 233 21 16 35 28 24 29
"ENSG00000111144" 13430 12244 11843 13210 12761 7093 5086 5044 4833 3700 6513 3938
"ENSG00000257715" 821 595 679 619 620 364 315 218 226 290 363 185
"ENSG00000111145" 380 361 508 306 489 252 146 223 133 119 304 125
"ENSG00000258177" 29 24 21 14 28 14 7 12 3 10 24 3
"ENSG00000059758" 567 512 873 720 493 565 1450 603 1625 776 1030 1509
"ENSG00000201435" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257169" 3 0 1 0 0 0 2 0 0 2 0 0
"ENSG00000139350" 257 262 475 298 356 242 583 453 427 357 894 517
"ENSG00000257501" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000206899" 0 0 1 0 0 0 0 0 0 0 0 0
"ENSG00000258312" 2 0 0 0 2 3 0 0 0 0 0 1
"ENSG00000227825" 240 465 381 226 517 166 155 271 302 96 416 180
"ENSG00000245017" 9 0 2 2 6 0 0 4 3 0 0 0
"ENSG00000257167" 161 244 167 185 308 78 141 270 211 37 398 176
"ENSG00000120802" 1661 2172 2075 1620 2608 1037 1444 2089 1882 659 3029 1413
"ENSG00000225185" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000075415" 6877 6694 8421 5738 7794 5923 5785 5511 6475 3414 5561 5211
"ENSG00000212443" 4 4 6 3 1 6 3 6 8 4 0 5
"ENSG00000120868" 690 424 908 584 557 554 294 333 353 311 543 322
"ENSG00000185046" 208 145 245 166 130 208 82 140 91 91 150 91
"ENSG00000257458" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000202324" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258039" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000180219" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000277393" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000166130" 289 342 396 251 417 165 120 151 173 71 96 122
"ENSG00000258204" 1 1 0 0 0 0 1 0 2 0 0 2
"ENSG00000214203" 8 0 4 0 12 0 1 1 2 1 0 3
"ENSG00000279148" 13 6 37 18 13 13 10 6 9 10 13 12
"ENSG00000111647" 540 506 966 651 617 620 456 271 591 241 407 438
"ENSG00000280088" 146 141 158 93 140 117 68 67 90 33 60 62
"ENSG00000257696" 6 2 8 0 2 1 0 0 0 0 0 0
"ENSG00000257489" 2 1 0 3 1 1 2 2 0 0 4 0
"ENSG00000075089" 267 281 428 316 292 350 206 196 334 149 276 358
"ENSG00000166153" 10 8 23 5 2 9 8 7 4 6 2 4
"ENSG00000206790" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000136021" 908 695 1251 963 959 688 1185 750 1336 787 1349 1385
"ENSG00000238105" 62 48 77 63 70 38 10 16 10 10 13 16
"ENSG00000221770" 2 2 2 1 2 0 0 0 1 2 2 1
"ENSG00000266610" 1 0 1 2 1 3 0 0 0 0 0 1
"ENSG00000139354" 466 305 500 253 204 147 53 38 81 24 45 14
"ENSG00000257803" 1 3 4 0 4 2 0 0 0 0 0 0
"ENSG00000151572" 0 0 0 0 0 0 0 0 2 0 0 0
"ENSG00000257325" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258007" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258033" 4 2 0 0 0 0 0 0 1 1 0 0
"ENSG00000120800" 333 265 385 282 274 208 210 128 190 123 117 106
"ENSG00000120805" 813 732 1098 721 925 750 451 425 613 293 522 469
"ENSG00000257543" 4 4 7 4 0 0 0 0 0 3 2 0
"ENSG00000111666" 447 413 688 325 428 338 281 310 313 151 361 231
"ENSG00000199933" 0 0 1 0 1 0 0 0 0 0 0 0
"ENSG00000139351" 61 79 96 38 44 48 33 41 35 23 39 16
"ENSG00000111670" 2914 2264 4108 3099 2809 2536 1855 1205 1914 1545 1820 1880
"ENSG00000222255" 0 0 0 1 0 4 0 0 0 0 0 0
"ENSG00000201168" 0 2 0 0 1 2 0 0 0 1 0 4
"ENSG00000222932" 0 0 0 2 0 1 0 0 0 0 0 1
"ENSG00000258230" 6 2 7 13 3 4 6 6 7 6 6 0
"ENSG00000252863" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000136048" 1558 1456 2267 1601 1876 1627 6140 4854 7635 5168 6531 7192
"ENSG00000241917" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000258308" 0 0 6 1 0 0 0 0 0 0 0 2
"ENSG00000258288" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000120860" 370 329 402 340 342 251 238 197 259 124 197 179
"ENSG00000257202" 188 196 242 179 207 152 594 603 879 446 682 689
"ENSG00000075188" 272 248 321 198 286 183 93 125 134 77 143 106
"ENSG00000281370" 52 37 66 34 30 29 7 25 24 9 16 12
"ENSG00000257222" 52 25 76 20 35 35 12 15 12 15 19 17
"ENSG00000185480" 60 99 147 65 100 56 32 50 46 5 41 9
"ENSG00000183395" 22 33 48 29 38 20 3 26 17 0 18 0
"ENSG00000264554" 3 2 0 0 2 2 0 0 0 0 2 0
"ENSG00000258142" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000283052" 0 0 0 0 0 1 0 2 0 0 0 0
"ENSG00000017427" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000281344" 16 18 16 8 31 11 0 6 5 0 12 2
"ENSG00000212594" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257737" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257766" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000136011" 2 2 6 4 0 4 0 0 4 0 0 0
"ENSG00000257681" 3 2 6 1 0 1 0 0 0 0 0 0
"ENSG00000111696" 155 62 142 89 52 65 20 2 15 14 6 32
"ENSG00000257754" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257327" 1 2 4 0 0 3 0 0 0 0 0 0
"ENSG00000214198" 7 6 8 8 2 6 1 0 0 0 0 0
"ENSG00000166598" 10271 11254 10207 9869 14215 7324 6242 8589 7287 5465 10269 6527
"ENSG00000204954" 81 83 97 72 109 88 79 95 88 33 73 60
"ENSG00000139372" 671 527 900 725 633 666 796 539 1129 626 725 747
"ENSG00000215976" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000265072" 285 442 290 418 534 124 235 297 328 133 496 256
"ENSG00000120820" 0 6 4 8 8 19 10 4 10 8 3 4
"ENSG00000216285" 72 54 146 54 79 102 68 50 59 54 72 71
"ENSG00000111727" 165 154 272 172 161 161 308 161 385 274 232 368
"ENSG00000199415" 0 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000280646" 0 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000120837" 287 274 351 295 291 215 156 152 194 56 299 129
"ENSG00000198431" 3831 2493 4878 4227 2647 3826 6136 1931 6530 4062 2164 5242
"ENSG00000257732" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000213442" 226 347 255 161 447 186 184 355 200 51 298 182
"ENSG00000255150" 6 6 16 16 18 10 23 34 26 29 35 12
"ENSG00000171310" 2382 2636 2939 2975 3449 2114 3157 3146 2964 2597 4287 3561
"ENSG00000258111" 0 0 0 0 0 0 2 0 2 0 0 0
"ENSG00000264295" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000279176" 6 2 0 5 6 0 4 0 2 8 2 0
"ENSG00000136052" 277 296 603 420 461 490 1692 1140 1744 1392 1798 1986
"ENSG00000222579" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000265054" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000151131" 75 81 71 56 98 62 54 79 95 34 50 31
"ENSG00000136010" 72 64 101 73 79 54 101 145 92 109 216 152
"ENSG00000257886" 3 0 0 0 0 3 0 0 1 6 0 0
"ENSG00000136051" 1624 1334 2393 2051 1728 1491 3434 1796 2953 2120 3036 2915
"ENSG00000136044" 483 420 691 426 457 395 114 126 133 111 149 148
"ENSG00000257642" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000264749" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000235162" 26 10 2 27 28 2 28 36 6 9 44 6
"ENSG00000257773" 12 18 26 26 18 4 14 12 18 2 16 14
"ENSG00000136026" 1157 2153 1321 889 2712 756 2468 4284 1992 1983 5424 1948
"ENSG00000258355" 0 0 0 0 0 0 4 2 0 0 1 0
"ENSG00000238609" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000166046" 149 101 252 144 107 117 43 28 40 38 41 41
"ENSG00000277715" 12 16 11 2 10 4 2 10 8 6 12 4
"ENSG00000013503" 147 209 207 180 196 130 98 58 74 43 67 32
"ENSG00000257545" 8 10 17 9 11 2 11 0 2 2 6 0
"ENSG00000111783" 2 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257711" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257918" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111785" 145 95 156 106 111 95 25 57 36 43 61 51
"ENSG00000260329" 3 0 2 0 0 4 0 2 2 0 0 0
"ENSG00000151135" 252 228 282 187 348 168 312 356 271 277 663 365
"ENSG00000120832" 138 80 142 105 117 85 33 38 30 20 60 26
"ENSG00000008405" 215 102 219 176 141 131 120 61 126 76 126 87
"ENSG00000257548" 6 0 9 5 0 4 3 1 4 3 3 0
"ENSG00000151136" 42 24 8 18 24 14 29 27 18 14 44 8
"ENSG00000200897" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000222302" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257579" 1 0 0 0 2 0 0 0 0 0 1 0
"ENSG00000222160" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000136045" 602 627 774 526 718 537 945 628 965 615 683 701
"ENSG00000240441" 0 0 0 4 0 0 0 0 0 0 4 0
"ENSG00000110851" 629 560 853 623 694 516 657 444 710 518 570 681
"ENSG00000258136" 48 40 69 45 53 27 39 30 41 59 35 67
"ENSG00000257951" 1 0 2 1 0 0 0 1 0 0 0 0
"ENSG00000258072" 3 0 1 0 2 0 5 0 4 1 0 4
"ENSG00000075035" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000276750" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000174600" 121 204 98 87 312 59 523 1081 761 800 1838 778
"ENSG00000280860" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000075856" 915 857 1185 999 966 769 762 601 861 574 856 801
"ENSG00000198855" 190 192 196 229 236 173 247 228 297 225 387 307
"ENSG00000136003" 1718 1927 2247 1820 2112 1293 1092 1212 1672 767 1353 1416
"ENSG00000183160" 180 119 100 80 253 60 15 58 44 8 33 17
"ENSG00000110876" 1686 1676 2021 1432 2062 1296 567 828 824 360 871 725
"ENSG00000110880" 9057 7343 12631 8096 7684 7671 3988 3136 5435 2507 3668 4535
"ENSG00000238457" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000200060" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000257221" 13 2 4 6 5 5 2 6 2 5 0 8
"ENSG00000280110" 1 0 1 5 1 0 4 3 5 0 3 0
"ENSG00000084112" 961 959 1353 957 1226 690 1013 884 831 946 1154 896
"ENSG00000274598" 0 0 0 1 0 0 2 0 0 0 0 0
"ENSG00000207622" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000273499" 2 2 2 0 0 0 0 0 0 0 0 0
"ENSG00000110887" 2 0 2 2 2 0 0 0 0 0 2 0
"ENSG00000135093" 372 298 559 329 317 346 339 300 289 225 440 390
"ENSG00000189046" 77 114 118 72 92 54 27 22 17 8 17 14
"ENSG00000076248" 425 415 567 326 504 345 185 169 147 120 192 155
"ENSG00000076555" 430 339 565 391 324 317 102 72 124 118 113 145
"ENSG00000256262" 45 34 44 201 144 229 240 132 181 140 260 296
"ENSG00000212138" 1 3 5 0 0 0 0 2 0 0 0 0
"ENSG00000256139" 6 5 8 7 6 0 2 0 4 4 0 0
"ENSG00000174527" 8 2 5 7 2 2 4 1 4 12 9 16
"ENSG00000256560" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000110906" 1348 1068 1942 1259 1193 1035 2285 1622 2432 1454 2147 2377
"ENSG00000151148" 1418 1057 1786 1443 1357 1068 1114 681 829 641 880 822
"ENSG00000255655" 3 0 0 0 1 1 4 1 1 10 4 7
"ENSG00000139428" 411 415 312 301 470 284 215 204 156 138 173 114
"ENSG00000110921" 505 422 380 408 479 326 217 224 163 159 190 122
"ENSG00000200274" 1 0 10 0 1 2 5 0 0 0 1 0
"ENSG00000139438" 25 7 24 25 8 13 2 10 4 0 4 5
"ENSG00000255650" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111199" 55 88 227 58 108 150 20 18 38 20 49 54
"ENSG00000263510" 0 0 1 0 0 0 0 0 1 0 0 2
"ENSG00000139433" 648 579 824 562 613 433 536 647 999 360 716 722
"ENSG00000241413" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000249094" 0 0 0 0 0 2 0 0 0 0 0 0
"ENSG00000139437" 2173 1650 2617 2286 2170 1702 1353 930 1381 784 1219 1177
"ENSG00000139436" 2610 1970 3343 2934 2633 2153 1950 1221 2012 1207 1738 1818
"ENSG00000256351" 2 1 0 0 0 0 0 0 0 0 1 0
"ENSG00000277299" 152 143 228 143 163 168 90 106 160 75 97 109
"ENSG00000280426" 6 4 4 2 7 6 0 2 2 0 0 2
"ENSG00000076513" 1198 1149 1675 1604 1644 1509 1657 1008 1755 1357 1603 2034
"ENSG00000174456" 225 159 380 335 295 303 281 157 309 218 271 429
"ENSG00000277595" 12 4 8 6 2 7 11 3 20 8 19 14
"ENSG00000279360" 3 3 2 2 3 7 0 0 0 1 2 0
"ENSG00000122970" 85 80 128 88 94 100 18 42 46 22 24 45
"ENSG00000174437" 5426 4432 5905 5830 5098 3797 4406 3106 3992 3334 4418 4238
"ENSG00000196510" 2620 1577 3343 1894 1614 2200 867 550 1028 502 617 781
"ENSG00000111229" 4901 4624 6208 4485 5370 4728 4738 4774 5463 3347 5746 5075
"ENSG00000111231" 191 244 259 211 329 158 118 151 136 51 138 103
"ENSG00000204856" 68 93 57 35 116 28 25 19 22 6 30 5
"ENSG00000111237" 1666 1586 1892 1647 1741 1297 1853 1462 1852 1054 1712 1725
"ENSG00000151164" 23 20 32 18 19 14 16 18 17 14 27 13
"ENSG00000258210" 1342 1015 1718 1083 1287 1027 1071 940 1086 743 1177 1163
"ENSG00000258011" 5 15 5 11 22 5 4 12 6 3 6 11
"ENSG00000241680" 3 0 0 2 1 0 0 0 0 0 0 3
"ENSG00000202335" 75 32 108 71 61 57 68 32 45 50 59 81
"ENSG00000278993" 56 77 81 62 71 56 94 61 65 62 82 84
"ENSG00000196850" 743 670 1090 914 912 801 1033 720 1098 608 973 1134
"ENSG00000204852" 1121 880 1225 1339 1136 1113 770 639 938 481 736 789
"ENSG00000221246" 0 2 0 0 0 0 0 0 2 0 0 0
"ENSG00000122986" 2080 1706 2167 2548 2071 2059 1476 1161 1734 970 1423 1545
"ENSG00000263537" 1 1 0 0 0 0 0 0 0 0 0 0
"ENSG00000186298" 2046 1937 3083 2025 2173 1984 1137 789 1407 804 1089 1154
"ENSG00000173093" 1 4 4 9 0 5 0 1 0 4 0 2
"ENSG00000221259" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000111249" 3 4 8 2 2 4 0 0 0 0 0 0
"ENSG00000221386" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000273700" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000253080" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000198324" 851 584 922 785 755 698 218 231 372 243 253 370
"ENSG00000257595" 25 26 36 28 13 25 6 11 10 2 8 18
"ENSG00000257539" 12 3 30 17 16 17 0 2 1 2 1 0
"ENSG00000111252" 2458 1836 3613 2552 2224 2204 3883 2572 4037 4231 3977 4464
"ENSG00000204842" 500 369 642 548 453 280 485 383 488 387 662 479
"ENSG00000266269" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000272215" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000238168" 0 0 0 0 0 0 0 0 0 3 0 0
"ENSG00000281280" 6 2 7 0 7 0 2 0 5 2 6 4
"ENSG00000258099" 2 10 0 2 4 1 0 10 9 5 5 6
"ENSG00000089234" 468 372 604 441 409 431 458 373 477 357 430 462
"ENSG00000111271" 928 692 851 768 805 559 457 337 336 274 394 277
"ENSG00000257767" 600 1012 845 484 1020 492 456 838 530 408 1396 648
"ENSG00000111275" 1531 2715 2231 1286 3019 1473 1370 2784 1610 1194 4053 1932
"ENSG00000274697" 0 0 0 0 1 0 0 1 1 1 0 1
"ENSG00000273903" 1 0 0 0 0 3 0 0 0 1 0 3
"ENSG00000258359" 3 2 4 0 0 4 2 2 4 6 0 0
"ENSG00000234608" 422 457 455 343 432 298 195 179 222 117 215 196
"ENSG00000089022" 847 738 1122 857 893 711 805 654 1119 584 796 952
"ENSG00000244060" 0 5 0 2 2 8 0 2 3 4 0 0
"ENSG00000229186" 96 65 167 72 66 71 32 12 52 25 43 43
"ENSG00000226469" 4 0 4 4 0 0 2 0 0 0 0 0
"ENSG00000198270" 121 104 152 74 141 76 38 35 54 32 34 21
"ENSG00000258373" 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000257624" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000089248" 2492 2729 2790 2418 3072 2375 1942 2311 2570 1405 2692 2247
